attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
39,100,250,4,-1,133,1048764,29596,46787,1207,1962982,258654,251801
39,100,250,8,-1,133,1048764,29596,46787,3009,3628128,33257,456965
39,100,250,12,-1,133,1048764,29596,46787,3899,5321828,42664,570969
39,100,250,16,-1,133,1048764,29596,46787,3282,3013865,42454,422423
0,100,300,4,5,336,523932,31724,29692,3209,1225374,35278,199130
0,100,300,8,5,336,523932,31724,29692,345,32098,30852,53546
0,100,300,12,5,336,523932,31724,29692,253,58161,34948,50968
0,100,300,16,5,336,523932,31724,29692,682,59905,33437,53643
1,100,300,4,3,327,352293,28432,17003,92,28841,26420,36621
1,100,300,8,3,327,352293,28432,17003,293,52961,31056,51220
1,100,300,12,3,327,352293,28432,17003,226,55692,22131,49042
1,100,300,16,3,327,352293,28432,17003,233,57136,22193,19737
2,100,300,4,5,667,852887,24823,36240,3952,1752357,37845,239154
2,100,300,8,5,667,852887,24823,36240,1546,32848,24656,43270
2,100,300,12,5,667,852887,24823,36240,477,63559,26258,43051
2,100,300,16,5,667,852887,24823,36240,465,64704,33882,41016
3,100,300,4,-1,122,22304,15142,12178,30,21032,12955,12837
3,100,300,8,-1,122,22304,15142,12178,15,22795,16738,13555
3,100,300,12,-1,122,22304,15142,12178,30,21533,12482,12752
3,100,300,16,-1,122,22304,15142,12178,26,20573,12835,12718
4,100,300,4,2,28,61988,24824,15278,472,42223,27766,18831
4,100,300,8,2,28,61988,24824,15278,172,33312,26975,42459
4,100,300,12,2,28,61988,24824,15278,263,65809,30426,45673
4,100,300,16,2,28,61988,24824,15278,742,62144,41001,42490
5,100,300,4,4,524,603215,32793,33488,390,41038,31318,28341
5,100,300,8,4,524,603215,32793,33488,131,63518,28949,41056
5,100,300,12,4,524,603215,32793,33488,129,53220,27805,41450
5,100,300,16,4,524,603215,32793,33488,133,42793,29304,43581
6,100,300,4,5,219,528342,260506,30101,3149,1128502,25831,148685
6,100,300,8,5,219,528342,260506,30101,186,26991,24874,27811
6,100,300,12,5,219,528342,260506,30101,169,58199,22292,43010
6,100,300,16,5,219,528342,260506,30101,226,53447,29089,19170
7,100,300,4,5,353,722572,27633,14880,1869,1413019,33362,192401
7,100,300,8,5,353,722572,27633,14880,344,29298,26454,50619
7,100,300,12,5,353,722572,27633,14880,376,61737,35104,55785
7,100,300,16,5,353,722572,27633,14880,308,63707,30763,51269
8,100,300,4,5,278,701999,29758,33444,1684,1377667,32162,175288
8,100,300,8,5,278,701999,29758,33444,887,30547,23367,33770
8,100,300,12,5,278,701999,29758,33444,290,58377,26261,50998
8,100,300,16,5,278,701999,29758,33444,168,58665,30843,51939
9,100,300,4,3,63,172267,27231,16662,129,33725,29865,23612
9,100,300,8,3,63,172267,27231,16662,198,57893,23109,51248
9,100,300,12,3,63,172267,27231,16662,593,64261,27899,51409
9,100,300,16,3,63,172267,27231,16662,401,60943,27152,53199
10,100,300,4,2,45,47344,33651,15169,74,37461,26228,26114
10,100,300,8,2,45,47344,33651,15169,303,64387,28402,51542
10,100,300,12,2,45,47344,33651,15169,302,64478,32822,55676
10,100,300,16,2,45,47344,33651,15169,306,62461,29878,51425
11,100,300,4,-1,114,1286132,33781,23141,6039,2620418,29339,194758
11,100,300,8,-1,114,1286132,33781,23141,5854,4621550,45202,469897
11,100,300,12,-1,114,1286132,33781,23141,7679,3694835,42338,469109
11,100,300,16,-1,114,1286132,33781,23141,4052,4093953,37484,449132
12,100,300,4,7,333,1038812,25304,44082,1430,623193,30159,108813
12,100,300,8,7,333,1038812,25304,44082,185,28653,25836,25396
12,100,300,12,7,333,1038812,25304,44082,117,51953,26872,45207
12,100,300,16,7,333,1038812,25304,44082,165,56674,26993,51668
13,100,300,4,1,22,22971,23327,10792,48,37091,28864,29817
13,100,300,8,1,22,22971,23327,10792,489,63788,24975,51200
13,100,300,12,1,22,22971,23327,10792,299,64208,32390,49312
13,100,300,16,1,22,22971,23327,10792,198,30307,28302,49208
14,100,300,4,1,32,21558,17882,11043,66,39744,24090,32187
14,100,300,8,1,32,21558,17882,11043,269,51868,26929,50246
14,100,300,12,1,32,21558,17882,11043,234,55701,27530,53496
14,100,300,16,1,32,21558,17882,11043,193,61900,30139,49781
15,100,300,4,-1,19,20528,16871,13392,15,23391,27601,15032
15,100,300,8,-1,19,20528,16871,13392,15,20909,29208,15406
15,100,300,12,-1,19,20528,16871,13392,9,21704,16477,12802
15,100,300,16,-1,19,20528,16871,13392,10,20602,17187,12943
16,100,300,4,5,66,779723,24019,33767,4657,1522637,34961,200819
16,100,300,8,5,66,779723,24019,33767,274,31254,22853,23559
16,100,300,12,5,66,779723,24019,33767,117,50108,26706,49144
16,100,300,16,5,66,779723,24019,33767,86,53886,25249,48953
17,100,300,4,3,54,234980,30365,17970,139,40029,32766,29908
17,100,300,8,3,54,234980,30365,17970,188,46178,22750,44997
17,100,300,12,3,54,234980,30365,17970,90,47394,25179,50909
17,100,300,16,3,54,234980,30365,17970,50,55148,32692,51379
18,100,300,4,3,95,288226,28844,21535,123,46316,30276,36355
18,100,300,8,3,95,288226,28844,21535,208,62264,26727,51297
18,100,300,12,3,95,288226,28844,21535,185,61682,270556,53203
18,100,300,16,3,95,288226,28844,21535,76,61491,15518,53424
19,100,300,4,5,127,797093,29773,19116,5067,1700382,28911,176733
19,100,300,8,5,127,797093,29773,19116,105,31175,27782,50810
19,100,300,12,5,127,797093,29773,19116,90,53935,27380,50976
19,100,300,16,5,127,797093,29773,19116,129,59698,25153,53596
20,100,300,4,5,155,569114,27688,19478,2283,1223243,25397,141571
20,100,300,8,5,155,569114,27688,19478,151,29662,24665,23092
20,100,300,12,5,155,569114,27688,19478,64,58245,29441,40216
20,100,300,16,5,155,569114,27688,19478,54,45196,25320,45072
21,100,300,4,3,61,189681,25002,16986,43,36855,24922,30531
21,100,300,8,3,61,189681,25002,16986,61,57198,29626,43054
21,100,300,12,3,61,189681,25002,16986,129,43742,28192,42805
21,100,300,16,3,61,189681,25002,16986,115,55835,31158,27821
