attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
34,100,250,8,6,96,20880,418,11132,91,19525,535,21825
34,100,250,12,6,96,20880,418,11132,69,11967,341,29011
34,100,250,16,6,96,20880,418,11132,102,15692,442,13953
35,100,250,4,3,25,3011,417,3469,37,5574,476,5377
35,100,250,8,3,25,3011,417,3469,43,15379,571,12803
35,100,250,12,3,25,3011,417,3469,57,15768,457,14302
35,100,250,16,3,25,3011,417,3469,44,12839,396,18955
36,100,250,4,5,62,12288,442,12919,490,190558,1056,190444
36,100,250,8,5,62,12288,442,12919,40,15284,575,14493
36,100,250,12,5,62,12288,442,12919,59,16185,450,13607
36,100,250,16,5,62,12288,442,12919,61,12873,748,15816
37,100,250,4,-1,106,18175,399,16380,922,343094,1598,333154
37,100,250,8,-1,106,18175,399,16380,3024,1070380,2884,1055371
37,100,250,12,-1,106,18175,399,16380,2851,1068024,2559,1079301
37,100,250,16,-1,106,18175,399,16380,2652,1102978,3301,1104055
38,100,250,4,-1,9,650,733,1227,3,690,437,839
38,100,250,8,-1,9,650,733,1227,2,439,643,914
38,100,250,12,-1,9,650,733,1227,2,659,504,545
38,100,250,16,-1,9,650,733,1227,6,416,592,510
39,100,250,4,-1,127,20966,410,13744,835,363088,1564,366588
39,100,250,8,-1,127,20966,410,13744,2427,1115664,2668,1122673
39,100,250,12,-1,127,20966,410,13744,2773,1029394,2839,1046455
39,100,250,16,-1,127,20966,410,13744,2901,1021625,2556,1069889
0,100,300,4,5,246,22307,2685,8902,3416,309863,2001,221371
0,100,300,8,5,246,22307,2685,8902,288,16968,1057,17610
0,100,300,12,5,246,22307,2685,8902,301,17437,834,15818
0,100,300,16,5,246,22307,2685,8902,292,19598,826,17053
1,100,300,4,3,59,8649,710,5138,81,11643,968,15893
1,100,300,8,3,59,8649,710,5138,209,19320,678,18553
1,100,300,12,3,59,8649,710,5138,285,24629,1071,17730
1,100,300,16,3,59,8649,710,5138,233,18474,1073,19059
2,100,300,4,5,103,22026,785,12670,2477,426175,2039,320776
2,100,300,8,5,103,22026,785,12670,315,17494,1140,15151
2,100,300,12,5,103,22026,785,12670,319,19988,717,17495
2,100,300,16,5,103,22026,785,12670,338,22743,971,24693
3,100,300,4,-1,37,344,783,844,105,767,755,1212
3,100,300,8,-1,37,344,783,844,42,816,1314,909
3,100,300,12,-1,37,344,783,844,16,752,750,937
3,100,300,16,-1,37,344,783,844,198,914,1199,1180
4,100,300,4,2,31,1925,887,2793,99,11797,946,10201
4,100,300,8,2,31,1925,887,2793,167,23051,816,23648
4,100,300,12,2,31,1925,887,2793,148,17490,758,20079
4,100,300,16,2,31,1925,887,2793,149,17819,710,15345
5,100,300,4,4,140,10532,483,6604,70,7360,686,26298
5,100,300,8,4,140,10532,483,6604,138,24874,740,28101
5,100,300,12,4,140,10532,483,6604,179,23223,979,30104
5,100,300,16,4,140,10532,483,6604,641,25020,900,23186
6,100,300,4,5,143,13396,638,9015,1466,245787,1318,235562
6,100,300,8,5,143,13396,638,9015,352,22709,750,24560
6,100,300,12,5,143,13396,638,9015,159,26266,818,22084
6,100,300,16,5,143,13396,638,9015,159,21537,649,23074
7,100,300,4,5,179,17806,775,11908,1767,379586,1637,311001
7,100,300,8,5,179,17806,775,11908,122,18778,644,19114
7,100,300,12,5,179,17806,775,11908,106,19066,1004,22062
7,100,300,16,5,179,17806,775,11908,178,20421,517,14565
8,100,300,4,5,84,12591,498,7616,1458,314406,1772,316392
8,100,300,8,5,84,12591,498,7616,124,22125,562,16527
8,100,300,12,5,84,12591,498,7616,203,16491,436,16314
8,100,300,16,5,84,12591,498,7616,167,17176,569,17520
9,100,300,4,3,20,5158,755,3048,36,5271,750,4574
9,100,300,8,3,20,5158,755,3048,110,22208,565,21313
9,100,300,12,3,20,5158,755,3048,240,17589,490,19269
9,100,300,16,3,20,5158,755,3048,237,16518,424,17896
10,100,300,4,2,18,1821,401,1062,55,4526,672,8673
10,100,300,8,2,18,1821,401,1062,112,24538,697,23196
10,100,300,12,2,18,1821,401,1062,148,25540,762,25321
10,100,300,16,2,18,1821,401,1062,185,22682,875,21706
11,100,300,4,-1,143,23918,554,18065,3728,564843,2040,490012
11,100,300,8,-1,143,23918,554,18065,7679,1391001,3847,1335466
11,100,300,12,-1,143,23918,554,18065,6038,1438469,4129,1410922
11,100,300,16,-1,143,23918,554,18065,4045,1367516,3657,1306403
12,100,300,4,7,97,22119,504,14006,408,133018,886,101467
12,100,300,8,7,97,22119,504,14006,83,14352,559,14730
12,100,300,12,7,97,22119,504,14006,67,21644,590,20897
12,100,300,16,7,97,22119,504,14006,88,21016,585,18781
13,100,300,4,1,7,609,451,354,46,6535,540,9785
13,100,300,8,1,7,609,451,354,54,19762,476,15497
13,100,300,12,1,7,609,451,354,62,25017,483,24598
13,100,300,16,1,7,609,451,354,100,17569,538,18008
14,100,300,4,1,8,665,565,986,49,14388,586,12819
14,100,300,8,1,8,665,565,986,67,21531,676,20847
14,100,300,12,1,8,665,565,986,65,20668,708,20835
14,100,300,16,1,8,665,565,986,91,23281,548,17551
15,100,300,4,-1,8,430,510,773,8,703,544,695
15,100,300,8,-1,8,430,510,773,7,521,679,540
15,100,300,12,-1,8,430,510,773,8,622,584,714
15,100,300,16,-1,8,430,510,773,10,866,392,783
16,100,300,4,5,70,14968,514,12734,2141,362649,1611,326347
16,100,300,8,5,70,14968,514,12734,57,17976,434,19065
16,100,300,12,5,70,14968,514,12734,72,18691,387,17246
